chromosome	left	right	locus_tag	gene_name	strand	feature	completeness	name	offset	type
NC_008463.1	1414323	1415419	RS06620	prfB	+	gene	complete	PA14_RS06620_prfB_39	39	unknown
NC_008463.1	1414323	1415419	RS06620	prfB	+	gene	complete	PA14_RS06620_prfB_59	59	unknown
NC_008463.1	1414323	1415419	RS06620	prfB	+	gene	complete	PA14_RS06620_prfB_100	100	unknown
NC_008463.1	1415599	1417105	RS06625	lysS	+	gene	complete	PA14_RS06625_lysS_12	12	unknown
NC_008463.1	1415599	1417105	RS06625	lysS	+	gene	complete	PA14_RS06625_lysS_62	62	unknown
NC_008463.1	1415599	1417105	RS06625	lysS	+	gene	complete	PA14_RS06625_lysS_83	83	unknown
NC_008463.1	1415599	1417105	RS06625	lysS	+	gene	complete	PA14_RS06625_lysS_104	104	unknown
NC_008463.1	1430422	1431070	RS06695	adk	+	gene	complete	PA14_RS06695_adk_28	28	unknown
NC_008463.1	1430422	1431070	RS06695	adk	+	gene	complete	PA14_RS06695_adk_48	48	unknown
NC_008463.1	1430422	1431070	RS06695	adk	+	gene	complete	PA14_RS06695_adk_82	82	unknown
NC_008463.1	1430422	1431070	RS06695	adk	+	gene	complete	PA14_RS06695_adk_113	113	unknown
NC_008463.1	1431173	1431854	RS06700	tsaB	+	gene	complete	PA14_RS06700_yeaZ_8	8	unknown
NC_008463.1	1431173	1431854	RS06700	tsaB	+	gene	complete	PA14_RS06700_yeaZ_29	29	unknown
NC_008463.1	1431173	1431854	RS06700	tsaB	+	gene	complete	PA14_RS06700_yeaZ_53	53	unknown
NC_008463.1	1431173	1431854	RS06700	tsaB	+	gene	complete	PA14_RS06700_yeaZ_117	117	unknown
NC_008463.1	1452240	1453275	RS06795	dapD	-	gene	complete	PA14_RS06795_dapD_12	12	unknown
NC_008463.1	1452240	1453275	RS06795	dapD	-	gene	complete	PA14_RS06795_dapD_43	43	unknown
NC_008463.1	1452240	1453275	RS06795	dapD	-	gene	complete	PA14_RS06795_dapD_86	86	unknown
NC_008463.1	1452240	1453275	RS06795	dapD	-	gene	complete	PA14_RS06795_dapD_120	120	unknown
NC_008463.1	1463111	1463852	RS06845	rpsB	+	gene	complete	PA14_RS06845_rpsB_8	8	unknown
NC_008463.1	1463111	1463852	RS06845	rpsB	+	gene	complete	PA14_RS06845_rpsB_38	38	unknown
NC_008463.1	1463111	1463852	RS06845	rpsB	+	gene	complete	PA14_RS06845_rpsB_62	62	unknown
NC_008463.1	1463111	1463852	RS06845	rpsB	+	gene	complete	PA14_RS06845_rpsB_117	117	unknown
NC_008463.1	1463982	1464852	RS06850	tsf	+	gene	complete	PA14_RS06850_tsf_23	23	unknown
NC_008463.1	1463982	1464852	RS06850	tsf	+	gene	complete	PA14_RS06850_tsf_50	50	unknown
NC_008463.1	1463982	1464852	RS06850	tsf	+	gene	complete	PA14_RS06850_tsf_86	86	unknown
NC_008463.1	1463982	1464852	RS06850	tsf	+	gene	complete	PA14_RS06850_tsf_113	113	unknown
NC_008463.1	1465050	1465788	RS06855	pyrH	+	gene	complete	PA14_RS06855_pyrH_31	31	unknown
NC_008463.1	1465050	1465788	RS06855	pyrH	+	gene	complete	PA14_RS06855_pyrH_71	71	unknown
NC_008463.1	1465050	1465788	RS06855	pyrH	+	gene	complete	PA14_RS06855_pyrH_103	103	unknown
NC_008463.1	1465050	1465788	RS06855	pyrH	+	gene	complete	PA14_RS06855_pyrH_138	138	unknown
NC_008463.1	1465790	1466348	RS06860	frr	+	gene	complete	PA14_RS06860_frr_51	51	unknown
NC_008463.1	1465790	1466348	RS06860	frr	+	gene	complete	PA14_RS06860_frr_89	89	unknown
NC_008463.1	1465790	1466348	RS06860	frr	+	gene	complete	PA14_RS06860_frr_111	111	unknown
NC_008463.1	1465790	1466348	RS06860	frr	+	gene	complete	PA14_RS06860_frr_143	143	unknown
NC_008463.1	1466363	1467119	RS06865	uppS	+	gene	complete	PA14_RS06865_uppS_14	14	unknown
NC_008463.1	1466363	1467119	RS06865	uppS	+	gene	complete	PA14_RS06865_uppS_34	34	unknown
NC_008463.1	1466363	1467119	RS06865	uppS	+	gene	complete	PA14_RS06865_uppS_95	95	unknown
NC_008463.1	1466363	1467119	RS06865	uppS	+	gene	complete	PA14_RS06865_uppS_116	116	unknown
NC_008463.1	1467112	1467928	RS06870	cdsA	+	gene	complete	PA14_RS06870_cdsA_43	43	unknown
NC_008463.1	1467112	1467928	RS06870	cdsA	+	gene	complete	PA14_RS06870_cdsA_66	66	unknown
NC_008463.1	1467112	1467928	RS06870	cdsA	+	gene	complete	PA14_RS06870_cdsA_89	89	unknown
NC_008463.1	1467112	1467928	RS06870	cdsA	+	gene	complete	PA14_RS06870_cdsA_165	165	unknown
NC_008463.1	1467924	1469115	RS06875	ispC	+	gene	complete	PA14_RS06875_dxr_2	2	unknown
NC_008463.1	1467924	1469115	RS06875	ispC	+	gene	complete	PA14_RS06875_dxr_41	41	unknown
NC_008463.1	1467924	1469115	RS06875	ispC	+	gene	complete	PA14_RS06875_dxr_62	62	unknown
NC_008463.1	1467924	1469115	RS06875	ispC	+	gene	complete	PA14_RS06875_dxr_85	85	unknown
NC_008463.1	1470563	1472948	RS06885	bamA	+	gene	complete	PA14_RS06885_bamA_22	22	unknown
NC_008463.1	1470563	1472948	RS06885	bamA	+	gene	complete	PA14_RS06885_bamA_50	50	unknown
NC_008463.1	1470563	1472948	RS06885	bamA	+	gene	complete	PA14_RS06885_bamA_80	80	unknown
NC_008463.1	1470563	1472948	RS06885	bamA	+	gene	complete	PA14_RS06885_bamA_113	113	unknown
NC_008463.1	1473504	1474566	RS06895	lpxD	+	gene	complete	PA14_RS06895_lpxD_14	14	unknown
NC_008463.1	1473504	1474566	RS06895	lpxD	+	gene	complete	PA14_RS06895_lpxD_82	82	unknown
NC_008463.1	1473504	1474566	RS06895	lpxD	+	gene	complete	PA14_RS06895_lpxD_113	113	unknown
NC_008463.1	1473504	1474566	RS06895	lpxD	+	gene	complete	PA14_RS06895_lpxD_135	135	unknown
NC_008463.1	1474611	1475052	RS06900	fabZ	+	gene	complete	PA14_RS06900_fabZ_33	33	unknown
NC_008463.1	1474611	1475052	RS06900	fabZ	+	gene	complete	PA14_RS06900_fabZ_54	54	unknown
NC_008463.1	1474611	1475052	RS06900	fabZ	+	gene	complete	PA14_RS06900_fabZ_107	107	unknown
NC_008463.1	1474611	1475052	RS06900	fabZ	+	gene	complete	PA14_RS06900_fabZ_133	133	unknown
NC_008463.1	1475048	1475825	RS06905	lpxA	+	gene	complete	PA14_RS06905_lpxA_19	19	unknown
NC_008463.1	1475048	1475825	RS06905	lpxA	+	gene	complete	PA14_RS06905_lpxA_63	63	unknown
NC_008463.1	1475048	1475825	RS06905	lpxA	+	gene	complete	PA14_RS06905_lpxA_127	127	unknown
NC_008463.1	1475048	1475825	RS06905	lpxA	+	gene	complete	PA14_RS06905_lpxA_147	147	unknown
NC_008463.1	1475828	1476965	RS06910	lpxB	+	gene	complete	PA14_RS06910_lpxB_26	26	unknown
NC_008463.1	1475828	1476965	RS06910	lpxB	+	gene	complete	PA14_RS06910_lpxB_57	57	unknown
NC_008463.1	1475828	1476965	RS06910	lpxB	+	gene	complete	PA14_RS06910_lpxB_96	96	unknown
NC_008463.1	1475828	1476965	RS06910	lpxB	+	gene	complete	PA14_RS06910_lpxB_127	127	unknown
NC_008463.1	1479331	1482853	RS06925	dnaE	+	gene	complete	PA14_RS06925_dnaE_8	8	unknown
NC_008463.1	1479331	1482853	RS06925	dnaE	+	gene	complete	PA14_RS06925_dnaE_38	38	unknown
NC_008463.1	1479331	1482853	RS06925	dnaE	+	gene	complete	PA14_RS06925_dnaE_60	60	unknown
NC_008463.1	1479331	1482853	RS06925	dnaE	+	gene	complete	PA14_RS06925_dnaE_109	109	unknown
NC_008463.1	1483002	1483953	RS06930	accA	+	gene	complete	PA14_RS06930_accA_9	9	unknown
NC_008463.1	1483002	1483953	RS06930	accA	+	gene	complete	PA14_RS06930_accA_34	34	unknown
NC_008463.1	1483002	1483953	RS06930	accA	+	gene	complete	PA14_RS06930_accA_72	72	unknown
NC_008463.1	1483002	1483953	RS06930	accA	+	gene	complete	PA14_RS06930_accA_146	146	unknown
NC_008463.1	1484022	1485351	RS06935	tilS	+	gene	complete	PA14_RS06935_mesJ_16	16	unknown
NC_008463.1	1484022	1485351	RS06935	tilS	+	gene	complete	PA14_RS06935_mesJ_41	41	unknown
NC_008463.1	1484022	1485351	RS06935	tilS	+	gene	complete	PA14_RS06935_mesJ_134	134	unknown
NC_008463.1	1484022	1485351	RS06935	tilS	+	gene	complete	PA14_RS06935_mesJ_174	174	unknown
NC_008463.1	1485521	1487150	RS06940	pyrG	+	gene	complete	PA14_RS06940_pyrG_99	99	unknown
NC_008463.1	1485521	1487150	RS06940	pyrG	+	gene	complete	PA14_RS06940_pyrG_126	126	unknown
NC_008463.1	1485521	1487150	RS06940	pyrG	+	gene	complete	PA14_RS06940_pyrG_152	152	unknown
NC_008463.1	1485521	1487150	RS06940	pyrG	+	gene	complete	PA14_RS06940_pyrG_200	200	unknown
NC_008463.1	1487152	1487998	RS06945	kdsA	+	gene	complete	PA14_RS06945_kdsA_36	36	unknown
NC_008463.1	1487152	1487998	RS06945	kdsA	+	gene	complete	PA14_RS06945_kdsA_104	104	unknown
NC_008463.1	1487152	1487998	RS06945	kdsA	+	gene	complete	PA14_RS06945_kdsA_137	137	unknown
NC_008463.1	1487152	1487998	RS06945	kdsA	+	gene	complete	PA14_RS06945_kdsA_185	185	unknown
NC_008463.1	1488043	1489333	RS06950	eno	+	gene	complete	PA14_RS06950_eno_30	30	unknown
NC_008463.1	1488043	1489333	RS06950	eno	+	gene	complete	PA14_RS06950_eno_57	57	unknown
NC_008463.1	1488043	1489333	RS06950	eno	+	gene	complete	PA14_RS06950_eno_81	81	unknown
NC_008463.1	1488043	1489333	RS06950	eno	+	gene	complete	PA14_RS06950_eno_107	107	unknown
NC_008463.1	1489701	1490406	RS06960	ispD	+	gene	complete	PA14_RS06960_ispD_14	14	unknown
NC_008463.1	1489701	1490406	RS06960	ispD	+	gene	complete	PA14_RS06960_ispD_42	42	unknown
NC_008463.1	1489701	1490406	RS06960	ispD	+	gene	complete	PA14_RS06960_ispD_74	74	unknown
NC_008463.1	1489701	1490406	RS06960	ispD	+	gene	complete	PA14_RS06960_ispD_150	150	unknown
NC_008463.1	1495110	1495584	RS06990	ispF	+	gene	complete	PA14_RS06990_ispF_15	15	unknown
NC_008463.1	1495110	1495584	RS06990	ispF	+	gene	complete	PA14_RS06990_ispF_59	59	unknown
NC_008463.1	1495110	1495584	RS06990	ispF	+	gene	complete	PA14_RS06990_ispF_79	79	unknown
NC_008463.1	1495110	1495584	RS06990	ispF	+	gene	complete	PA14_RS06990_ispF_102	102	unknown
NC_008463.1	1540029	1541568	RS07205	glpD	-	gene	complete	PA14_RS07205_glpD_18	18	unknown
NC_008463.1	1540029	1541568	RS07205	glpD	-	gene	complete	PA14_RS07205_glpD_54	54	unknown
NC_008463.1	1540029	1541568	RS07205	glpD	-	gene	complete	PA14_RS07205_glpD_90	90	unknown
NC_008463.1	1540029	1541568	RS07205	glpD	-	gene	complete	PA14_RS07205_glpD_112	112	unknown
NC_008463.1	1598183	1599101	RS07450	argF	-	gene	complete	PA14_RS07450_argF_41	41	unknown
NC_008463.1	1598183	1599101	RS07450	argF	-	gene	complete	PA14_RS07450_argF_64	64	unknown
NC_008463.1	1598183	1599101	RS07450	argF	-	gene	complete	PA14_RS07450_argF_88	88	unknown
NC_008463.1	1598183	1599101	RS07450	argF	-	gene	complete	PA14_RS07450_argF_116	116	unknown
NC_008463.1	1609323	1609998	RS07495	rnt	-	gene	complete	PA14_RS07495_rnt_40	40	unknown
NC_008463.1	1609323	1609998	RS07495	rnt	-	gene	complete	PA14_RS07495_rnt_62	62	unknown
NC_008463.1	1609323	1609998	RS07495	rnt	-	gene	complete	PA14_RS07495_rnt_88	88	unknown
NC_008463.1	1609323	1609998	RS07495	rnt	-	gene	complete	PA14_RS07495_rnt_114	114	unknown
NC_008463.1	1609994	1611041	RS07500	pyrC	-	gene	complete	PA14_RS07500_pyrC_6	6	unknown
NC_008463.1	1609994	1611041	RS07500	pyrC	-	gene	complete	PA14_RS07500_pyrC_28	28	unknown
NC_008463.1	1609994	1611041	RS07500	pyrC	-	gene	complete	PA14_RS07500_pyrC_49	49	unknown
NC_008463.1	1609994	1611041	RS07500	pyrC	-	gene	complete	PA14_RS07500_pyrC_72	72	unknown
NC_008463.1	1612256	1613474	RS07510	argG	+	gene	complete	PA14_RS07510_argG_27	27	unknown
NC_008463.1	1612256	1613474	RS07510	argG	+	gene	complete	PA14_RS07510_argG_53	53	unknown
NC_008463.1	1612256	1613474	RS07510	argG	+	gene	complete	PA14_RS07510_argG_83	83	unknown
NC_008463.1	1612256	1613474	RS07510	argG	+	gene	complete	PA14_RS07510_argG_113	113	unknown
NC_008463.1	1644278	1646315	RS07635	metG	-	gene	complete	PA14_RS07635_metG_6	6	unknown
NC_008463.1	1644278	1646315	RS07635	metG	-	gene	complete	PA14_RS07635_metG_30	30	unknown
NC_008463.1	1644278	1646315	RS07635	metG	-	gene	complete	PA14_RS07635_metG_57	57	unknown
NC_008463.1	1644278	1646315	RS07635	metG	-	gene	complete	PA14_RS07635_metG_88	88	unknown
NC_008463.1	1646445	1647540	RS07640	apbC	+	gene	complete	PA14_RS07640_mrp_8	8	unknown
NC_008463.1	1646445	1647540	RS07640	apbC	+	gene	complete	PA14_RS07640_mrp_35	35	unknown
NC_008463.1	1646445	1647540	RS07640	apbC	+	gene	complete	PA14_RS07640_mrp_57	57	unknown
NC_008463.1	1646445	1647540	RS07640	apbC	+	gene	complete	PA14_RS07640_mrp_77	77	unknown
NC_008463.1	1647641	1648208	RS07645	dcd	+	gene	complete	PA14_RS07645_dcd_8	8	unknown
NC_008463.1	1647641	1648208	RS07645	dcd	+	gene	complete	PA14_RS07645_dcd_33	33	unknown
NC_008463.1	1647641	1648208	RS07645	dcd	+	gene	complete	PA14_RS07645_dcd_64	64	unknown
NC_008463.1	1647641	1648208	RS07645	dcd	+	gene	complete	PA14_RS07645_dcd_102	102	unknown
NC_008463.1	1735929	1736706	RS08070	fpr	+	gene	complete	PA14_RS08070_fpr_20	20	unknown
NC_008463.1	1735929	1736706	RS08070	fpr	+	gene	complete	PA14_RS08070_fpr_42	42	unknown
NC_008463.1	1735929	1736706	RS08070	fpr	+	gene	complete	PA14_RS08070_fpr_74	74	unknown
NC_008463.1	1735929	1736706	RS08070	fpr	+	gene	complete	PA14_RS08070_fpr_104	104	unknown
NC_008463.1	1914544	1914799	RS08895	minE	-	gene	complete	PA14_RS08895_minE_7	7	unknown
NC_008463.1	1914544	1914799	RS08895	minE	-	gene	complete	PA14_RS08895_minE_51	51	unknown
NC_008463.1	1914544	1914799	RS08895	minE	-	gene	complete	PA14_RS08895_minE_84	84	unknown
NC_008463.1	1914544	1914799	RS08895	minE	-	gene	complete	PA14_RS08895_minE_110	110	unknown
NC_008463.1	1914795	1915611	RS08900	minD	-	gene	complete	PA14_RS08900_minD_6	6	unknown
NC_008463.1	1914795	1915611	RS08900	minD	-	gene	complete	PA14_RS08900_minD_27	27	unknown
NC_008463.1	1914795	1915611	RS08900	minD	-	gene	complete	PA14_RS08900_minD_51	51	unknown
NC_008463.1	1914795	1915611	RS08900	minD	-	gene	complete	PA14_RS08900_minD_79	79	unknown
NC_008463.1	1915672	1916464	RS08905	minC	-	gene	complete	PA14_RS08905_minC_7	7	unknown
NC_008463.1	1915672	1916464	RS08905	minC	-	gene	complete	PA14_RS08905_minC_31	31	unknown
NC_008463.1	1915672	1916464	RS08905	minC	-	gene	complete	PA14_RS08905_minC_69	69	unknown
NC_008463.1	1915672	1916464	RS08905	minC	-	gene	complete	PA14_RS08905_minC_94	94	unknown
NC_008463.1	2000158	2001628	RS09340	zwf	+	gene	complete	PA14_RS09340_zwf_7	7	unknown
NC_008463.1	2000158	2001628	RS09340	zwf	+	gene	complete	PA14_RS09340_zwf_65	65	unknown
NC_008463.1	2000158	2001628	RS09340	zwf	+	gene	complete	PA14_RS09340_zwf_128	128	unknown
NC_008463.1	2000158	2001628	RS09340	zwf	+	gene	complete	PA14_RS09340_zwf_164	164	unknown
NC_008463.1	2001614	2002331	RS09345	pgl	+	gene	complete	PA14_RS09345_pgl_42	42	unknown
NC_008463.1	2001614	2002331	RS09345	pgl	+	gene	complete	PA14_RS09345_pgl_62	62	unknown
NC_008463.1	2001614	2002331	RS09345	pgl	+	gene	complete	PA14_RS09345_pgl_86	86	unknown
NC_008463.1	2001614	2002331	RS09345	pgl	+	gene	complete	PA14_RS09345_pgl_152	152	unknown
NC_008463.1	2002348	2003011	RS09350	eda	+	gene	complete	PA14_RS09350_eda_26	26	unknown
NC_008463.1	2002348	2003011	RS09350	eda	+	gene	complete	PA14_RS09350_eda_63	63	unknown
NC_008463.1	2002348	2003011	RS09350	eda	+	gene	complete	PA14_RS09350_eda_99	99	unknown
NC_008463.1	2002348	2003011	RS09350	eda	+	gene	complete	PA14_RS09350_eda_137	137	unknown
NC_008463.1	2011147	2011846	RS09400	ubiG	-	gene	complete	PA14_RS09400_ubiG_21	21	unknown
NC_008463.1	2011147	2011846	RS09400	ubiG	-	gene	complete	PA14_RS09400_ubiG_48	48	unknown
NC_008463.1	2011147	2011846	RS09400	ubiG	-	gene	complete	PA14_RS09400_ubiG_83	83	unknown
NC_008463.1	2011147	2011846	RS09400	ubiG	-	gene	complete	PA14_RS09400_ubiG_181	181	unknown
NC_008463.1	2014753	2017519	RS09415	gyrA	+	gene	complete	PA14_RS09415_gyrA_17	17	unknown
NC_008463.1	2014753	2017519	RS09415	gyrA	+	gene	complete	PA14_RS09415_gyrA_101	101	unknown
NC_008463.1	2014753	2017519	RS09415	gyrA	+	gene	complete	PA14_RS09415_gyrA_123	123	unknown
NC_008463.1	2014753	2017519	RS09415	gyrA	+	gene	complete	PA14_RS09415_gyrA_155	155	unknown
NC_008463.1	2017606	2018692	RS09420	serC	+	gene	complete	PA14_RS09420_serC_17	17	unknown
NC_008463.1	2017606	2018692	RS09420	serC	+	gene	complete	PA14_RS09420_serC_37	37	unknown
NC_008463.1	2017606	2018692	RS09420	serC	+	gene	complete	PA14_RS09420_serC_71	71	unknown
NC_008463.1	2017606	2018692	RS09420	serC	+	gene	complete	PA14_RS09420_serC_105	105	unknown
NC_008463.1	2018691	2019789	RS09425	pheA	+	gene	complete	PA14_RS09425_pheA_12	12	unknown
NC_008463.1	2018691	2019789	RS09425	pheA	+	gene	complete	PA14_RS09425_pheA_51	51	unknown
NC_008463.1	2018691	2019789	RS09425	pheA	+	gene	complete	PA14_RS09425_pheA_89	89	unknown
NC_008463.1	2018691	2019789	RS09425	pheA	+	gene	complete	PA14_RS09425_pheA_122	122	unknown
NC_008463.1	2019857	2020967	RS09430	hisC	+	gene	complete	PA14_RS09430_hisC2_8	8	unknown
NC_008463.1	2019857	2020967	RS09430	hisC	+	gene	complete	PA14_RS09430_hisC2_52	52	unknown
NC_008463.1	2019857	2020967	RS09430	hisC	+	gene	complete	PA14_RS09430_hisC2_86	86	unknown
NC_008463.1	2019857	2020967	RS09430	hisC	+	gene	complete	PA14_RS09430_hisC2_128	128	unknown
NC_008463.1	2020959	2023200	RS09435	.	+	gene	complete	PA14_RS09435_-_19	19	unknown
NC_008463.1	2020959	2023200	RS09435	.	+	gene	complete	PA14_RS09435_-_51	51	unknown
NC_008463.1	2020959	2023200	RS09435	.	+	gene	complete	PA14_RS09435_-_86	86	unknown
NC_008463.1	2020959	2023200	RS09435	.	+	gene	complete	PA14_RS09435_-_149	149	unknown
NC_008463.1	2023199	2023889	RS09440	cmk	+	gene	complete	PA14_RS09440_cmk_29	29	unknown
NC_008463.1	2023199	2023889	RS09440	cmk	+	gene	complete	PA14_RS09440_cmk_50	50	unknown
NC_008463.1	2023199	2023889	RS09440	cmk	+	gene	complete	PA14_RS09440_cmk_81	81	unknown
NC_008463.1	2023199	2023889	RS09440	cmk	+	gene	complete	PA14_RS09440_cmk_110	110	unknown
NC_008463.1	2024156	2025836	RS09445	rpsA	+	gene	complete	PA14_RS09445_rpsA_48	48	unknown
NC_008463.1	2024156	2025836	RS09445	rpsA	+	gene	complete	PA14_RS09445_rpsA_68	68	unknown
NC_008463.1	2024156	2025836	RS09445	rpsA	+	gene	complete	PA14_RS09445_rpsA_113	113	unknown
NC_008463.1	2024156	2025836	RS09445	rpsA	+	gene	complete	PA14_RS09445_rpsA_134	134	unknown
NC_008463.1	2040148	2041165	RS09495	orfN	+	gene	complete	PA14_RS09495_orfN_25	25	unknown
NC_008463.1	2040148	2041165	RS09495	orfN	+	gene	complete	PA14_RS09495_orfN_56	56	unknown
NC_008463.1	2040148	2041165	RS09495	orfN	+	gene	complete	PA14_RS09495_orfN_103	103	unknown
NC_008463.1	2044343	2045540	RS09515	tyrB	-	gene	complete	PA14_RS09515_tyrB_18	18	unknown
NC_008463.1	2044343	2045540	RS09515	tyrB	-	gene	complete	PA14_RS09515_tyrB_41	41	unknown
NC_008463.1	2044343	2045540	RS09515	tyrB	-	gene	complete	PA14_RS09515_tyrB_63	63	unknown
NC_008463.1	2044343	2045540	RS09515	tyrB	-	gene	complete	PA14_RS09515_tyrB_83	83	unknown
NC_008463.1	2051387	2052872	RS09540	gltX	+	gene	complete	PA14_RS09540_gltx_8	8	unknown
NC_008463.1	2051387	2052872	RS09540	gltX	+	gene	complete	PA14_RS09540_gltx_29	29	unknown
NC_008463.1	2051387	2052872	RS09540	gltX	+	gene	complete	PA14_RS09540_gltx_49	49	unknown
NC_008463.1	2051387	2052872	RS09540	gltX	+	gene	complete	PA14_RS09540_gltx_84	84	unknown
NC_008463.1	2063571	2064996	RS09625	leuC	+	gene	complete	PA14_RS09625_leuC_8	8	unknown
NC_008463.1	2063571	2064996	RS09625	leuC	+	gene	complete	PA14_RS09625_leuC_45	45	unknown
NC_008463.1	2063571	2064996	RS09625	leuC	+	gene	complete	PA14_RS09625_leuC_90	90	unknown
NC_008463.1	2063571	2064996	RS09625	leuC	+	gene	complete	PA14_RS09625_leuC_113	113	unknown
NC_008463.1	2065007	2065646	RS09630	leuD	+	gene	complete	PA14_RS09630_leuD_10	10	unknown
NC_008463.1	2065007	2065646	RS09630	leuD	+	gene	complete	PA14_RS09630_leuD_40	40	unknown
NC_008463.1	2065007	2065646	RS09630	leuD	+	gene	complete	PA14_RS09630_leuD_65	65	unknown
NC_008463.1	2065007	2065646	RS09630	leuD	+	gene	complete	PA14_RS09630_leuD_90	90	unknown
NC_008463.1	2066537	2067620	RS09640	leuB	+	gene	complete	PA14_RS09640_leuB_18	18	unknown
NC_008463.1	2066537	2067620	RS09640	leuB	+	gene	complete	PA14_RS09640_leuB_46	46	unknown
NC_008463.1	2066537	2067620	RS09640	leuB	+	gene	complete	PA14_RS09640_leuB_86	86	unknown
NC_008463.1	2066537	2067620	RS09640	leuB	+	gene	complete	PA14_RS09640_leuB_119	119	unknown
NC_008463.1	2067689	2068802	RS09645	asd	+	gene	complete	PA14_RS09645_asd_87	87	unknown
NC_008463.1	2067689	2068802	RS09645	asd	+	gene	complete	PA14_RS09645_asd_110	110	unknown
NC_008463.1	2067689	2068802	RS09645	asd	+	gene	complete	PA14_RS09645_asd_160	160	unknown
NC_008463.1	2067689	2068802	RS09645	asd	+	gene	complete	PA14_RS09645_asd_197	197	unknown
NC_008463.1	2073824	2074460	RS09665	trpF	+	gene	complete	PA14_RS09665_trpF_7	7	unknown
NC_008463.1	2073824	2074460	RS09665	trpF	+	gene	complete	PA14_RS09665_trpF_83	83	unknown
NC_008463.1	2073824	2074460	RS09665	trpF	+	gene	complete	PA14_RS09665_trpF_111	111	unknown
NC_008463.1	2073824	2074460	RS09665	trpF	+	gene	complete	PA14_RS09665_trpF_155	155	unknown
NC_008463.1	2074728	2075601	RS09670	accD	+	gene	complete	PA14_RS09670_accD_33	33	unknown
NC_008463.1	2074728	2075601	RS09670	accD	+	gene	complete	PA14_RS09670_accD_56	56	unknown
NC_008463.1	2074728	2075601	RS09670	accD	+	gene	complete	PA14_RS09670_accD_81	81	unknown
NC_008463.1	2074728	2075601	RS09670	accD	+	gene	complete	PA14_RS09670_accD_101	101	unknown
NC_008463.1	2075597	2076887	RS09675	folC	+	gene	complete	PA14_RS09675_folC_8	8	unknown
NC_008463.1	2075597	2076887	RS09675	folC	+	gene	complete	PA14_RS09675_folC_51	51	unknown
NC_008463.1	2075597	2076887	RS09675	folC	+	gene	complete	PA14_RS09675_folC_86	86	unknown
NC_008463.1	2075597	2076887	RS09675	folC	+	gene	complete	PA14_RS09675_folC_121	121	unknown
NC_008463.1	2078375	2079881	RS09690	purF	+	gene	complete	PA14_RS09690_purF_68	68	unknown
NC_008463.1	2078375	2079881	RS09690	purF	+	gene	complete	PA14_RS09690_purF_98	98	unknown
NC_008463.1	2078375	2079881	RS09690	purF	+	gene	complete	PA14_RS09690_purF_150	150	unknown
NC_008463.1	2078375	2079881	RS09690	purF	+	gene	complete	PA14_RS09690_purF_177	177	unknown
NC_008463.1	2079897	2081109	RS09695	metZ	+	gene	complete	PA14_RS09695_metZ_23	23	unknown
NC_008463.1	2079897	2081109	RS09695	metZ	+	gene	complete	PA14_RS09695_metZ_56	56	unknown
NC_008463.1	2079897	2081109	RS09695	metZ	+	gene	complete	PA14_RS09695_metZ_80	80	unknown
NC_008463.1	2079897	2081109	RS09695	metZ	+	gene	complete	PA14_RS09695_metZ_128	128	unknown
NC_008463.1	2101329	2102217	RS09805	ppnK	+	gene	complete	PA14_RS09805_ppnK_10	10	unknown
NC_008463.1	2101329	2102217	RS09805	ppnK	+	gene	complete	PA14_RS09805_ppnK_36	36	unknown
NC_008463.1	2101329	2102217	RS09805	ppnK	+	gene	complete	PA14_RS09805_ppnK_72	72	unknown
NC_008463.1	2101329	2102217	RS09805	ppnK	+	gene	complete	PA14_RS09805_ppnK_99	99	unknown
NC_008463.1	2153623	2154652	RS09985	pyrD	+	gene	complete	PA14_RS09985_pyrD_12	12	unknown
NC_008463.1	2153623	2154652	RS09985	pyrD	+	gene	complete	PA14_RS09985_pyrD_41	41	unknown
NC_008463.1	2153623	2154652	RS09985	pyrD	+	gene	complete	PA14_RS09985_pyrD_136	136	unknown
NC_008463.1	2153623	2154652	RS09985	pyrD	+	gene	complete	PA14_RS09985_pyrD_182	182	unknown
NC_008463.1	2160173	2160797	RS10010	evgA	+	gene	complete	PA14_RS10010_evgA_9	9	unknown
NC_008463.1	2160173	2160797	RS10010	evgA	+	gene	complete	PA14_RS10010_evgA_34	34	unknown
NC_008463.1	2160173	2160797	RS10010	evgA	+	gene	complete	PA14_RS10010_evgA_71	71	unknown
NC_008463.1	2160173	2160797	RS10010	evgA	+	gene	complete	PA14_RS10010_evgA_98	98	unknown
NC_008463.1	2192749	2194897	RS10170	fadB	+	gene	complete	PA14_RS10170_fadB_12	12	unknown
NC_008463.1	2192749	2194897	RS10170	fadB	+	gene	complete	PA14_RS10170_fadB_37	37	unknown
NC_008463.1	2192749	2194897	RS10170	fadB	+	gene	complete	PA14_RS10170_fadB_86	86	unknown
NC_008463.1	2192749	2194897	RS10170	fadB	+	gene	complete	PA14_RS10170_fadB_110	110	unknown
NC_008463.1	2194927	2196103	RS10175	fadA	+	gene	complete	PA14_RS10175_foaB_9	9	unknown
NC_008463.1	2194927	2196103	RS10175	fadA	+	gene	complete	PA14_RS10175_foaB_45	45	unknown
NC_008463.1	2194927	2196103	RS10175	fadA	+	gene	complete	PA14_RS10175_foaB_65	65	unknown
NC_008463.1	2194927	2196103	RS10175	fadA	+	gene	complete	PA14_RS10175_foaB_95	95	unknown
